-desc,date,temp_c,text,icon,wind_mph,wind_degree,wind_dir,pressure_mb,precip_mm,precip_in,humidity,cloud,feelslike_c,vis_miles,uv,gust_mph,gb-defra-index,headache_severity

Data----,20/02/2022 17:00,11,Overcast,http://cdn.weatherapi.com/weather/64x64/night/122.png,28.6,240,WSW,1004,0.1,0,100,100,6.7,0,2,45.2,1,0
avrgData,20/02/2022 18:15,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,26.6,270,W,1006,0.1,0,82,50,5.3,6,2,45.2,1,0
Data----,20/02/2022 18:00,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,26.6,270,W,1006,0,0,82,50,5.2,6,1,42.3,1,0
avrgData,20/02/2022 19:15,8,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,32.2,280,W,1009,0,0,66,50,2.4,6,1,42.3,1,0
Data----,20/02/2022 19:45,8,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,32.2,280,W,1009,0,0,66,50,2.4,6,1,42.3,1,0
avrgData,20/02/2022 20:15,8,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,26.6,280,W,1010,0.1,0,71,25,2.5,6,1,40.5,1,0
Data----,21/02/2022 07:45,9,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,29.8,280,W,1016,0,0,66,75,4,5,1,47.9,1,0
avrgData,21/02/2022 08:30,9,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,35.3,280,W,1017,0.1,0,66,50,4,5,1,47.6,1,0
mornData,21/02/2022 08:00,9,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,31.1,290,WNW,1018,0,0,66,50,4,5,2,44.7,1,0
avrgData,21/02/2022 09:15,9,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,29.8,280,W,1019,0,0,71,50,4.2,5,2,43.8,1,0
Data----,21/02/2022 09:00,9,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,29.8,280,W,1019,0.1,0,71,50,4.2,5,2,41.8,1,0
avrgData,21/02/2022 10:30,10,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,32.2,290,WNW,1020,0.1,0,66,50,5.5,5,2,41.8,1,0
Data----,21/02/2022 10:00,10,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,32.2,290,WNW,1020,0,0,66,50,5.6,5,3,37.8,1,0
avrgData,21/02/2022 11:30,10,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,29.8,290,WNW,1021,0,0,66,50,5.6,6,3,37.8,1,0
Data----,21/02/2022 11:45,10,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,29.8,290,WNW,1021,0,0,66,50,5.6,6,3,37.8,1,0
avrgData,21/02/2022 12:30,10,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,32.2,280,W,1021,0,0,62,50,5.6,6,3,33.8,1,0
